iteracao,score
9000,-4214.637005117203
9010,-4214.637005117203
9020,-4214.637005117203
9030,-4214.637005117203
9040,-4214.637005117203
9050,-4214.637005117203
9060,-4214.637005117203
9070,-4214.637005117203
9080,-4214.637005117203
9090,-4214.637005117203
9100,-4214.637005117203
9110,-4214.637005117203
9120,-4214.637005117203
9130,-4214.637005117203
9140,-4214.637005117203
9150,-4214.637005117203
9160,-4214.637005117203
9170,-4214.637005117203
9180,-4214.637005117203
9190,-4214.637005117203
9200,-4214.637005117203
9210,-4214.637005117203
9220,-4214.637005117203
9230,-4214.637005117203
9240,-4214.637005117203
9250,-4214.637005117203
9260,-4214.637005117203
9270,-4214.637005117203
9280,-4214.637005117203
9290,-4214.637005117203
9300,-4214.637005117203
9310,-4214.637005117203
9320,-4214.637005117203
9330,-4214.637005117203
9340,-4214.637005117203
9350,-4214.637005117203
9360,-4214.637005117203
9370,-4214.637005117203
9380,-4214.637005117203
9390,-4214.637005117203
9400,-4214.637005117203
9410,-4214.637005117203
9420,-4214.637005117203
9430,-4214.637005117203
9440,-4214.637005117203
9450,-4214.637005117203
9460,-4214.637005117203
9470,-4214.637005117203
9480,-4214.637005117203
9490,-4214.637005117203
9500,-4214.637005117203
9510,-4214.637005117203
9520,-4214.637005117203
9530,-4214.637005117203
9540,-4214.637005117203
9550,-4214.637005117203
9560,-4214.637005117203
9570,-4214.637005117203
9580,-4214.637005117203
9590,-4214.637005117203
9600,-4214.637005117203
9610,-4214.637005117203
9620,-4214.637005117203
9630,-4214.637005117203
9640,-4214.637005117203
9650,-4214.637005117203
9660,-4214.637005117203
9670,-4214.637005117203
9680,-4214.637005117203
9690,-4214.637005117203
9700,-4214.637005117203
9710,-4214.637005117203
9720,-4214.637005117203
9730,-4214.637005117203
9740,-4214.637005117203
9750,-4214.637005117203
9760,-4214.637005117203
9770,-4214.637005117203
9780,-4214.637005117203
9790,-4214.637005117203
9800,-4214.637005117203
9810,-4214.637005117203
9820,-4214.637005117203
9830,-4214.637005117203
9840,-4214.637005117203
9850,-4214.637005117203
9860,-4214.637005117203
9870,-4214.637005117203
9880,-4214.637005117203
9890,-4214.637005117203
9900,-4214.637005117203
9910,-4214.637005117203
9920,-4214.637005117203
9930,-4214.637005117203
9940,-4214.637005117203
9950,-4214.637005117203
9960,-4214.637005117203
9970,-4214.637005117203
9980,-4214.637005117203
9990,-4214.637005117203
10000,-4214.637005117203
10010,-4214.637005117203
10020,-4214.637005117203
10030,-4214.637005117203
10040,-4214.637005117203
10050,-4214.637005117203
10060,-4214.637005117203
10070,-4214.637005117203
10080,-4214.637005117203
10090,-4214.637005117203
10100,-4214.637005117203
10110,-4214.637005117203
10120,-4214.637005117203
